,model_name
564,One Action 4/128GB XT2013-2 Blue
565,One Action 4/128GB XT2013-2 White
566,One Fusion 4/64GB Deep Sapphire Blue
567,One Fusion+ 6/128GB Blue (PAJW0006RS)
568,One Hyper XT2027-1 4/128GB Deep Sea Blue
569,One Macro XT2016-1 4/64GB Blue
570,One Power XT1942-1 4/64GB Dual Sim Black
571,One Vision 4/128GB Bronze
572,One Vision 4/128GB Sapphire Blue
573,One XT1941-4 4/64GB Dual Sim Black
574,One Zoom 4/128GB Grey
575,One Zoom 4/128GB Purple
576,P Smart 2020 4/128GB Emerald Green
577,P Smart Pro 6/128GB Midnight Black (51094UVB)
578,P Smart S 4/128GB Breathing Crystal (51095HVM)
579,P smart 2019 3/64GB Black (51093FSW)
580,P smart 2021 4/128GB Midnight Black (51096ABV)
581,P smart Z 4/64GB Emerald Green (51093WVK)
582,P smart+ 4/64GB Black (51092TFB)
583,P30 4/64GB Black
584,P30 6/128GB Black (51093NDK)
585,P30 8/128GB Black
586,P30 Lite 4/128GB Breathing Crystal
587,P30 Lite 6/256GB Peacock Blue
588,P30 Pro 6/128GB Black (51093TFT)
589,P30 Pro 8/128GB Aurora
590,P30 Pro 8/256GB Black (51093NFN)
591,P30 Pro NEW EDITION 8/256GB Silver Frost
592,P40 8/128GB Black (51095EHY)
593,P40 Pro 8/256GB Silver Frost (51095CAL)
594,P40 Pro+ 8/512GB Black Ceramic
595,P40 Pro+ 8/512GB Black Ceramic
596,P40 lite 6/128GB Crush Green (51095CJX)
597,P40 lite E 4/64GB Midnight Black (51095DCE)
598,P600 Black
599,P600 Gold
600,P760 Black
601,P8 Prestige Gold
602,P8 Prestige Gold
603,POP 2F B1F 1/16GB Midnight Black (4895180746659)
604,POP 3 BB2 1/16GB DS Sandstone Black (4895180751288)
605,POP 4 BC2 2/32GB DS Ice Lake Green (4895180759420)
606,Pixel 128GB (Quite Black)
607,Pixel 2 128GB Just Black
608,Pixel 2 64GB Just Black
609,Pixel 2 XL 64GB Just Black
610,Pixel 3 4/128GB Just Black
611,Pixel 3 4/64GB Just Black
612,Pixel 3 XL 4/64GB Just Black
613,Pixel 32GB (Quite Black)
614,Pixel 3a 4/64GB Just Black
615,Pixel 3a XL 4/64GB Just Black
616,Pixel 4 6/64GB Just Black
617,Pixel 4 XL 6/128GB Just Black
618,Pixel 4 XL 6/64GB Oh So Orange
